Qubit Map of the M-scheme states 
No. of Qubits = 12 
Qubit	n	l	j	  jz 
   2	9	1	0		0.066824 
   2	9	1	6		-0.086156 
   2	9	3	2		0.066824 
   2	9	3	8		-0.290217 
   2	9	3	10		0.058459 
   2	9	2	9		0.087303 
   2	9	2	11		0.079838 
   2	9	0	7		-0.112953 
   2	9	5	4		0.059722 
   2	9	7	6		-0.179312 
   2	9	9	8		-0.239033 
   2	9	9	10		-0.009073 
   2	9	8	11		-0.121593 
   2	11	1	0		-0.296600 
   2	11	1	6		-0.160651 
   2	11	3	2		-0.296600 
   2	11	3	8		0.058459 
   2	11	3	10		-0.364350 
   2	11	2	9		0.079838 
   2	11	2	11		0.150650 
   2	11	0	7		-0.178107 
   2	11	5	4		-0.217781 
   2	11	7	6		-0.043556 
   2	11	9	8		0.174225 
   2	11	9	10		-0.122000 
   2	11	8	11		0.122000 
   0	7	1	0		-0.163685 
   0	7	1	6		-0.081533 
   0	7	3	2		-0.163685 
   0	7	3	8		-0.086156 
   0	7	3	10		-0.160651 
   0	7	2	9		-0.112953 
   0	7	2	11		-0.178107 
   0	7	0	7		0.285047 
   0	7	5	4		-0.341488 
   0	7	7	6		-0.146378 
   0	7	9	8		0.195110 
   0	7	9	10		-0.217824 
   0	7	8	11		0.057792 
   5	4	1	0		-0.558527 
   5	4	1	6		-0.341488 
   5	4	3	2		0.127656 
   5	4	3	8		0.059722 
   5	4	3	10		-0.217781 
   5	4	2	9		0.059722 
   5	4	2	11		-0.217781 
   5	4	0	7		-0.341488 
   5	4	5	4		-0.409764 
   5	4	7	6		0.442407 
   5	4	9	8		-0.332729 
   5	4	9	10		-0.207089 
   5	4	8	11		0.207089 
   5	4	11	10		-0.340059 
   7	6	1	0		0.300005 
   7	6	1	6		-0.146378 
   7	6	3	2		-0.386179 
   7	6	3	8		-0.179312 
   7	6	3	10		-0.043556 
   7	6	2	9		-0.179312 
   7	6	2	11		-0.043556 
   7	6	0	7		-0.146378 
   7	6	5	4		0.442407 
   7	6	7	6		-0.234279 
   7	6	9	8		0.508214 
   7	6	9	10		-0.041418 
   7	6	8	11		0.041418 
   7	6	11	10		0.340059 
   9	8	1	0		-0.170743 
   9	8	1	6		0.195110 
   9	8	3	2		0.515440 
   9	8	3	8		-0.239033 
   9	8	3	10		0.174225 
   9	8	2	9		-0.239033 
   9	8	2	11		0.174225 
   9	8	0	7		0.195110 
   9	8	5	4		-0.332729 
   9	8	7	6		0.508214 
   9	8	9	8		-0.343957 
   9	8	9	10		0.165671 
   9	8	8	11		-0.165671 
   9	8	11	10		-0.340059 
   9	10	1	0		-0.115600 
   9	10	1	6		-0.057792 
   9	10	3	2		-0.115600 
   9	10	3	8		0.121593 
   9	10	3	10		-0.122000 
   9	10	2	9		-0.009073 
   9	10	2	11		-0.122000 
   9	10	0	7		-0.217824 
   9	10	5	4		-0.207089 
   9	10	7	6		-0.041418 
   9	10	9	8		0.165671 
   9	10	9	10		-0.002450 
   9	10	8	11		0.407550 
   8	11	1	0		0.115600 
   8	11	1	6		0.217824 
   8	11	3	2		0.115600 
   8	11	3	8		0.009073 
   8	11	3	10		0.122000 
   8	11	2	9		-0.121593 
   8	11	2	11		0.122000 
   8	11	0	7		0.057792 
   8	11	5	4		0.207089 
   8	11	7	6		0.041418 
   8	11	9	8		-0.165671 
   8	11	9	10		0.407550 
   8	11	8	11		-0.002450 
   11	10	1	0		-0.859347 
   11	10	3	2		0.859347 
   11	10	5	4		-0.340059 
   11	10	7	6		0.340059 
   11	10	9	8		-0.340059 
   11	10	11	10		0.030900 
   1	4	1	4		0.339427 
   1	4	3	0		-0.211316 
   1	4	3	6		-0.070204 
   1	4	2	8		-0.027002 
   1	4	2	10		-0.199129 
   1	4	0	9		-0.064457 
   1	4	0	11		-0.092432 
   1	4	7	4		-0.341488 
   1	4	9	6		0.154248 
   1	4	8	10		-0.043076 
   1	4	6	11		0.187435 
   3	0	1	4		-0.211316 
   3	0	3	0		0.245900 
   3	0	3	6		-0.054562 
   3	0	2	8		0.192905 
   3	0	2	10		-0.513726 
   3	0	0	9		-0.200472 
   3	0	0	11		-0.296600 
   3	0	7	4		-0.333751 
   3	0	9	6		0.211083 
   3	0	8	10		-0.133483 
   3	0	6	11		0.188774 
   3	6	1	4		-0.070204 
   3	6	3	0		-0.054562 
   3	6	3	6		0.191228 
   3	6	2	8		-0.244793 
   3	6	2	10		-0.041337 
   3	6	0	9		-0.136084 
   3	6	0	11		-0.041322 
   3	6	7	4		-0.188973 
   3	6	9	6		-0.119553 
   3	6	8	10		0.081272 
   3	6	6	11		0.113728 
   2	8	1	4		-0.027002 
   2	8	3	0		0.192905 
   2	8	3	6		-0.244793 
   2	8	2	8		-0.001833 
   2	8	2	10		0.167527 
   2	8	0	9		-0.180726 
   2	8	0	11		0.109065 
   2	8	7	4		0.133542 
   2	8	9	6		-0.422555 
   2	8	8	10		0.071989 
   2	8	6	11		-0.148005 
   2	10	1	4		-0.199129 
   2	10	3	0		-0.513726 
   2	10	3	6		-0.041337 
   2	10	2	8		0.167527 
   2	10	2	10		-0.031525 
   2	10	0	9		-0.176568 
   2	10	0	11		-0.315536 
   2	10	7	4		-0.292184 
   2	10	9	6		0.184794 
   2	10	8	10		-0.122000 
   2	10	6	11		0.172534 
   0	9	1	4		-0.064457 
   0	9	3	0		-0.200472 
   0	9	3	6		-0.136084 
   0	9	2	8		-0.180726 
   0	9	2	10		-0.176568 
   0	9	0	9		0.215878 
   0	9	0	11		-0.109068 
   0	9	7	4		-0.385691 
   0	9	9	6		0.048733 
   0	9	8	10		-0.210605 
   0	9	6	11		0.057792 
   0	11	1	4		-0.092432 
   0	11	3	0		-0.296600 
   0	11	3	6		-0.041322 
   0	11	2	8		0.109065 
   0	11	2	10		-0.315536 
   0	11	0	9		-0.109068 
   0	11	0	11		0.332825 
   0	11	7	4		-0.168693 
   0	11	9	6		0.106691 
   0	11	8	10		-0.070437 
   0	11	6	11		0.099613 
   7	4	1	4		-0.341488 
   7	4	3	0		-0.333751 
   7	4	3	6		-0.188973 
   7	4	2	8		0.133542 
   7	4	2	10		-0.292184 
   7	4	0	9		-0.385691 
   7	4	0	11		-0.168693 
   7	4	7	4		0.032643 
   7	4	9	6		0.138734 
   7	4	8	10		-0.185226 
   7	4	6	11		0.261949 
   9	6	1	4		0.154248 
   9	6	3	0		0.211083 
   9	6	3	6		-0.119553 
   9	6	2	8		-0.422555 
   9	6	2	10		0.184794 
   9	6	0	9		0.048733 
   9	6	0	11		0.106691 
   9	6	7	4		0.138734 
   9	6	9	6		0.164257 
   9	6	8	10		0.117147 
   9	6	6	11		-0.165671 
   8	10	1	4		-0.043076 
   8	10	3	0		-0.133483 
   8	10	3	6		0.081272 
   8	10	2	8		0.071989 
   8	10	2	10		-0.122000 
   8	10	0	9		-0.210605 
   8	10	0	11		-0.070437 
   8	10	7	4		-0.185226 
   8	10	9	6		0.117147 
   8	10	8	10		0.133400 
   8	10	6	11		0.384242 
   6	11	1	4		0.187435 
   6	11	3	0		0.188774 
   6	11	3	6		0.113728 
   6	11	2	8		-0.148005 
   6	11	2	10		0.172534 
   6	11	0	9		0.057792 
   6	11	0	11		0.099613 
   6	11	7	4		0.261949 
   6	11	9	6		-0.165671 
   6	11	8	10		0.384242 
   6	11	6	11		-0.138300 
   3	4	3	4		0.248794 
   3	4	2	0		-0.244007 
   3	4	2	6		-0.125159 
   3	4	0	8		-0.138646 
   3	4	0	10		-0.252495 
   3	4	9	4		-0.358514 
   3	4	8	6		0.267165 
   3	4	6	10		0.037873 
   3	4	4	11		0.241977 
   2	0	3	4		-0.244007 
   2	0	2	0		0.245900 
   2	0	2	6		0.218247 
   2	0	0	8		-0.133648 
   2	0	0	10		-0.593200 
   2	0	9	4		-0.235998 
   2	0	8	6		0.316624 
   2	0	6	10		-0.094387 
   2	0	4	11		0.211056 
   2	6	3	4		-0.125159 
   2	6	2	0		0.218247 
   2	6	2	6		-0.015030 
   2	6	0	8		-0.261113 
   2	6	0	10		0.225838 
   2	6	9	4		-0.000082 
   2	6	8	6		-0.478030 
   2	6	6	10		0.129457 
   2	6	4	11		-0.143387 
   0	8	3	4		-0.138646 
   0	8	2	0		-0.133648 
   0	8	2	6		-0.261113 
   0	8	0	8		0.111536 
   0	8	0	10		-0.138297 
   0	8	9	4		-0.327310 
   0	8	8	6		0.048733 
   0	8	6	10		-0.179296 
   0	8	4	11		0.043076 
   0	10	3	4		-0.252495 
   0	10	2	0		-0.593200 
   0	10	2	6		0.225838 
   0	10	0	8		-0.138297 
   0	10	0	10		-0.213700 
   0	10	9	4		-0.238568 
   0	10	8	6		0.320072 
   0	10	6	10		-0.099613 
   0	10	4	11		0.222741 
   9	4	3	4		-0.358514 
   9	4	2	0		-0.235998 
   9	4	2	6		-0.000082 
   9	4	0	8		-0.327310 
   9	4	0	10		-0.238568 
   9	4	9	4		0.142321 
   9	4	8	6		0.147149 
   9	4	6	10		-0.092613 
   9	4	4	11		0.207089 
   8	6	3	4		0.267165 
   8	6	2	0		0.316624 
   8	6	2	6		-0.478030 
   8	6	0	8		0.048733 
   8	6	0	10		0.320072 
   8	6	9	4		0.147149 
   8	6	8	6		0.054579 
   8	6	6	10		0.124253 
   8	6	4	11		-0.277839 
   6	10	3	4		0.037873 
   6	10	2	0		-0.094387 
   6	10	2	6		0.129457 
   6	10	0	8		-0.179296 
   6	10	0	10		-0.099613 
   6	10	9	4		-0.092613 
   6	10	8	6		0.124253 
   6	10	6	10		0.269250 
   6	10	4	11		0.303770 
   4	11	3	4		0.241977 
   4	11	2	0		0.211056 
   4	11	2	6		-0.143387 
   4	11	0	8		0.043076 
   4	11	0	10		0.222741 
   4	11	9	4		0.207089 
   4	11	8	6		-0.277839 
   4	11	6	10		0.303770 
   4	11	4	11		-0.274150 
   2	4	2	4		0.108862 
   2	4	0	6		-0.304465 
   2	4	8	4		-0.239070 
   2	4	4	10		0.163332 
   0	6	2	4		-0.304465 
   0	6	0	6		-0.048363 
   0	6	8	4		-0.308638 
   0	6	4	10		-0.126516 
   8	4	2	4		-0.239070 
   8	4	0	6		-0.308638 
   8	4	8	4		0.252000 
   4	10	2	4		0.163332 
   4	10	0	6		-0.126516 
   4	10	4	10		0.405100 
   0	4	0	4		-0.284200 
   0	4	6	4		-0.390400 
   6	4	0	4		-0.390400 
   6	4	6	4		0.252000 
End V and Total Matrix Elements = 620
________________________________________________
Qubit mapped matrix elements of KE all M 
   1	5	1	5		-18.536700 
   5	7	5	7		-17.417400 
   1	7	1	7		-18.536700 
   3	5	3	5		-18.536700 
   5	9	5	9		-17.417400 
   5	11	5	11		-16.547500 
   1	3	1	3		-19.656000 
   1	9	1	9		-18.536700 
   1	11	1	11		-17.666800 
   3	7	3	7		-18.536700 
   2	5	2	5		-18.536700 
   5	8	5	8		-17.417400 
   5	10	5	10		-16.547500 
   7	9	7	9		-17.417400 
   7	11	7	11		-16.547500 
   1	2	1	2		-19.656000 
   1	8	1	8		-18.536700 
   1	10	1	10		-17.666800 
   3	9	3	9		-18.536700 
   3	11	3	11		-17.666800 
   2	7	2	7		-18.536700 
   0	5	0	5		-18.536700 
   5	6	5	6		-17.417400 
   7	8	7	8		-17.417400 
   7	10	7	10		-16.547500 
   9	11	9	11		-16.547500 
   1	0	1	0		-19.656000 
   1	6	1	6		-18.536700 
   3	2	3	2		-19.656000 
   3	8	3	8		-18.536700 
   3	10	3	10		-17.666800 
   2	9	2	9		-18.536700 
   2	11	2	11		-17.666800 
   0	7	0	7		-18.536700 
   5	4	5	4		-17.417400 
   7	6	7	6		-17.417400 
   9	8	9	8		-17.417400 
   9	10	9	10		-16.547500 
   8	11	8	11		-16.547500 
   11	10	11	10		-15.677600 
   1	4	1	4		-18.536700 
   3	0	3	0		-19.656000 
   3	6	3	6		-18.536700 
   2	8	2	8		-18.536700 
   2	10	2	10		-17.666800 
   0	9	0	9		-18.536700 
   0	11	0	11		-17.666800 
   7	4	7	4		-17.417400 
   9	6	9	6		-17.417400 
   8	10	8	10		-16.547500 
   6	11	6	11		-16.547500 
   3	4	3	4		-18.536700 
   2	0	2	0		-19.656000 
   2	6	2	6		-18.536700 
   0	8	0	8		-18.536700 
   0	10	0	10		-17.666800 
   9	4	9	4		-17.417400 
   8	6	8	6		-17.417400 
   6	10	6	10		-16.547500 
   4	11	4	11		-16.547500 
   2	4	2	4		-18.536700 
   0	6	0	6		-18.536700 
   8	4	8	4		-17.417400 
   4	10	4	10		-16.547500 
   0	4	0	4		-18.536700 
   6	4	6	4		-17.417400 
End KE
